Module,Total Public Functions,Documented,Coverage %,Missing Examples,Missing Edge Cases
advisor/daily_recommendations.gleam,1,1,100%,0,0
advisor/recommendations.gleam,4,4,100%,0,0
advisor/weekly_trends.gleam,4,4,100%,0,0
automation/fatsecret_sync.gleam,3,0
0,0%,0,0
automation/macro_optimizer.gleam,5,5,100%,0,0
automation/plan_generator.gleam,1,1,100%,0,0
automation/preferences.gleam,6,6,100%,0,0
automation/rotation.gleam,18,18,100%,0,0
automation/shopping_consolidator.gleam,6,6,100%,0,0
cache.gleam,12,12,100%,0,0
cache/invalidation.gleam,27,27,100%,0,0
cli/cache.gleam,7,7,100%,0,0
cli/commands.gleam,11,11,100%,0,0
cli/components/date_picker.gleam,12,12,100%,0,0
cli/components/date_picker/logic.gleam,12,12,100%,0,0
cli/components/date_picker/update.gleam,2,2,100%,0,0
cli/components/date_picker/view.gleam,1,1,100%,0,0
cli/components/food_search_popup.gleam,10,10,100%,0,0
cli/components/list_view.gleam,19,19,100%,0,0
cli/components/progress_bar.gleam,20,20,100%,0,0
cli/domains/advisor.gleam,8,8,100%,0,0
cli/domains/diary/commands/add.gleam,1,1,100%,0,0
cli/domains/diary/commands/delete.gleam,1,1,100%,0,0
cli/domains/diary/commands/sync.gleam,2,2,100%,0,0
cli/domains/diary/commands/view.gleam,1,1,100%,0,0
cli/domains/diary/formatters.gleam,2,2,100%,0,0
cli/domains/diary/helpers.gleam,2,2,100%,0,0
cli/domains/diary/mod.gleam,1,1,100%,0,0
cli/domains/diary/types.gleam,1,1,100%,0,0
cli/domains/fatsecret.gleam,4,4,100%,0,0
cli/domains/nutrition/commands.gleam,8,8,100%,0,0
cli/domains/nutrition.gleam,14,14,100%,0,0
cli/domains/nutrition/mod.gleam,1,1,100%,0,0
cli/domains/plan.gleam,3,2,66%,0,0
cli/domains/preferences.gleam,1,1,100%,0,0
cli/domains/recipe.gleam,5,5,100%,0,0
cli/domains/scheduler.gleam,10,10,100%,0,0
cli/domains/tandoor.gleam,15,15,100%,0,0
cli/domains/web.gleam,1,1,100%,0,0
cli/formatters.gleam,4,0
0,0%,0,0
cli/glint_commands.gleam,1,1,100%,0,0
cli/model.gleam,12,12,100%,0,0
cli/screens/diary_view.gleam,7,7,100%,0,0
cli/screens/diary_view/model.gleam,5,5,100%,0,0
cli/screens/diary_view/update.gleam,1,1,100%,0,0
cli/screens/exercise/helpers.gleam,6,6,100%,0,0
cli/screens/exercise/model.gleam,1,1,100%,0,0
cli/screens/exercise/update.gleam,1,1,100%,0,0
cli/screens/exercise/view.gleam,1,1,100%,0,0
cli/screens/exercise_view.gleam,3,3,100%,0,0
cli/screens/fatsecret_diary.gleam,4,4,100%,0,0
cli/screens/nutrition_view.gleam,4,4,100%,0,0
cli/screens/recipe_browser/model.gleam,2,2,100%,0,0
cli/screens/recipe_view.gleam,4,4,100%,0,0
cli/screens/scheduler_view.gleam,3,3,100%,0,0
cli/screens/weight/model.gleam,1,1,100%,0,0
cli/screens/weight_view.gleam,3,3,100%,0,0
cli/shore_app.gleam,1,1,100%,0,0
cli/tui.gleam,4,4,100%,0,0
cli/update.gleam,1,1,100%,0,0
cli/view.gleam,1,1,100%,0,0
config.gleam,15,15,100%,0,0
email/command.gleam,4,4,100%,0,0
email/confirmation.gleam,1,1,100%,0,0
email/executor.gleam,1,1,100%,0,0
email/handler.gleam,3,1,33%,0,0
email/parser.gleam,1,1,100%,0,0
env.gleam,12,12,100%,0,0
error.gleam,10,10,100%,0,0
errors.gleam,31,31,100%,0,0
fatsecret/client.gleam,13,12,92%,0,0
fatsecret/core/config.gleam,6,6,100%,0,0
fatsecret/core/errors.gleam,7,7,100%,0,0
fatsecret/core/http.gleam,4,4,100%,2,0
fatsecret/core/oauth.gleam,9,9,100%,0,0
fatsecret/crypto.gleam,4,4,100%,0,0
fatsecret/diary/client.gleam,10,4,40%,0,0
fatsecret/diary/decoders.gleam,6,6,100%,0,0
fatsecret/diary/handlers/copy.gleam,4,3,75%,0,0
fatsecret/diary/handlers/create.gleam,1,1,100%,0,0
fatsecret/diary/handlers/delete.gleam,1,1,100%,0,0
fatsecret/diary/handlers/get.gleam,1,1,100%,0,0
fatsecret/diary/handlers.gleam,1,1,100%,0,0
fatsecret/diary/handlers/helpers.gleam,3,3,100%,0,0
fatsecret/diary/handlers/list.gleam,1,1,100%,0,0
fatsecret/diary/handlers/mod.gleam,1,1,100%,0,0
fatsecret/diary/handlers/summary.gleam,1,1,100%,0,0
fatsecret/diary/handlers/update.gleam,1,1,100%,0,0
fatsecret/diary/service.gleam,11,11,100%,0,0
fatsecret/diary/types.gleam,10,10,100%,0,0
fatsecret/exercise/client.gleam,9,9,100%,0,0
fatsecret/exercise/decoders.gleam,7,7,100%,0,0
fatsecret/exercise/handlers.gleam,7,7,100%,0,0
fatsecret/exercise/service.gleam,9,9,100%,0,0
fatsecret/exercise/types.gleam,6,6,100%,0,0
fatsecret/favorites/client.gleam,12,12,100%,0,0
fatsecret/favorites/decoders.gleam,4,4,100%,0,0
fatsecret/favorites/handlers.gleam,8,8,100%,0,0
fatsecret/favorites/service.gleam,8,8,100%,0,0
fatsecret/favorites/types.gleam,1,1,100%,0,0
fatsecret/food_brands/client.gleam,2,2,100%,0,0
fatsecret/food_brands/decoders.gleam,3,3,100%,0,0
fatsecret/food_brands/types.gleam,4,4,100%,0,0
fatsecret/foods/client.gleam,8,8,100%,0,0
fatsecret/foods/decoders.gleam,14,14,100%,0,0
fatsecret/foods/handlers.gleam,2,2,100%,0,0
fatsecret/foods/service.gleam,5,5,100%,0,0
fatsecret/foods/types.gleam,4,4,100%,0,0
fatsecret/handlers_helpers.gleam,28,25,89%,0,0
fatsecret/meal_logger/batch.gleam,7,7,100%,0,0
fatsecret/meal_logger/errors.gleam,4,4,100%,0,0
fatsecret/meal_logger.gleam,14,14,100%,0,0
fatsecret/meal_logger/macro_calculator.gleam,5,4,80%,0,0
fatsecret/meal_logger/retry.gleam,5,5,100%,0,0
fatsecret/meal_logger/validators.gleam,6,6,100%,0,0
fatsecret/profile/client.gleam,3,3,100%,2,0
fatsecret/profile/decoders.gleam,4,4,100%,0,0
fatsecret/profile/handlers.gleam,4,4,100%,0,0
fatsecret/profile/oauth.gleam,3,3,100%,0
0,0
fatsecret/profile/service.gleam,4,4,100%,0,0
fatsecret/recipes/client.gleam,8,8,100%,0,0
fatsecret/recipes/decoders.gleam,7,7,100%,0,0
fatsecret/recipes/handlers.gleam,4,4,100%,0,0
fatsecret/recipes/service.gleam,5,5,100%,0,0
fatsecret/recipes/types.gleam,2,2,100%,0,0
fatsecret/saved_meals/client.gleam,8,8,100%,0,0
fatsecret/saved_meals/decoders.gleam,6,6,100%,4,0
fatsecret/saved_meals/handlers.gleam,8,8,100%,0,0
fatsecret/saved_meals/service.gleam,9,9,100%,0,0
fatsecret/saved_meals/types.gleam,6,2,33%,0,0
fatsecret/service.gleam,10,10,100%,0,0
fatsecret/storage.gleam,11,11,100%,0,0
fatsecret/weight/client.gleam,3,3,100%,2,0
fatsecret/weight/decoders.gleam,3,3,100%,0,0
fatsecret/weight/handlers.gleam,3,3,100%,0,0
fatsecret/weight/service.gleam,5,5,100%,0,0
fatsecret/weight/types.gleam,2,2,100%,0,0
generation/locked_meals.gleam,2,2,100%,0,0
generation/rotation_tracker.gleam,3,3,100%,0,0
generator.gleam,3,3,100%,0,0
generator/knapsack.gleam,2,2,100%,0,0
generator/types.gleam,7,7,100%,0,0
generator/weekly.gleam,11,11,100%,0,0
grocery_list.gleam,6,6,100%,0,0
id.gleam,38,0
0,0%,0,0
infrastructure_setup.gleam,7,7,100%,0,0
logger.gleam,8,8,100%,0,0
meal_plan/constraints_decoder.gleam,1,1,100%,0,0
meal_plan/constraints_encoder.gleam,1,1,100%,0,0
meal_plan/constraints.gleam,6,6,100%,0,0
meal_plan.gleam,10,10,100%,0,0
meal_prep_ai.gleam,2,2,100%,0,0
meal_selection.gleam,5,5,100%,0,0
meal_sync.gleam,4,4,100%,0,0
mvp_recipes.gleam,1,1,100%,0,0
ncp.gleam,24,24,100%,0,0
nutrient_parser.gleam,1,0
0,0%,0,0
openapi/cli.gleam,1,0
0,0%,0,0
openapi/example.gleam,2,1,50%,0,0
openapi/generator.gleam,3,3,100%,0,0
openapi/generator/json.gleam,20,20,100%,0,0
openapi/generator/paths.gleam,6,6,100%,0,0
openapi/generator/schemas.gleam,6,6,100%,0,0
orchestrator.gleam,3,3,100%,0,0
pagination.gleam,9,9,100%,0,0
portion.gleam,2,2,100%,0,0
postgres.gleam,5,5,100%,4,0
quantity.gleam,11,0
0,0%,0,0
query_cache.gleam,6,6,100%,0,0
recipe_loader.gleam,3,3,100%,0,0
scheduler/advanced.gleam,8,8,100%,0,0
scheduler/constraint_solver.gleam,5,5,100%,0,0
scheduler/errors.gleam,5,5,100%,0,0
scheduler/executor.gleam,11,11,100%,0,0
scheduler/generation_scheduler.gleam,2,2,100%,0,0
scheduler/job_manager.gleam,10,10,100%,0,0
scheduler/recurrence.gleam,4,4,100%,0,0
scheduler/sync_scheduler.gleam,3,3,100%,0,0
scheduler/types.gleam,18,5,27%,0,0
shared/advisor_encoders.gleam,13,13,100%,0,0
shared/error_handlers.gleam,10,10,100%,0,0
shared/query_builders.gleam,10,1,10%,0,0
shared/response_encoders.gleam,14,14,100%,0,0
startup.gleam,4,4,100%,0,0
storage/audit.gleam,11,11,100%,0,0
storage/foods.gleam,15,15,100%,0,0
storage.gleam,35,10,28%,0,0
storage/logs/entries.gleam,5,0
0,0%,0,0
storage/logs.gleam,15,15,100%,0,0
storage/logs/queries.gleam,6,6,100%,0,0
storage/logs/summaries.gleam,5,5,100%,0,0
storage/profile.gleam,10,10,100%,0,0
storage/scheduler.gleam,11,11,100%,0,0
storage/schema.gleam,1,1,100%,0,0
storage/utils.gleam,1,1,100%,0,0
tandoor/api/crud_helpers.gleam,9,9,100%,0,0
tandoor/api/generic_crud.gleam,8,8,100%,0,0
tandoor/api/query_builders.gleam,15,15,100%,0,0
tandoor/automation.gleam,9,9,100%,0,0
tandoor/client.gleam,26,26,100%,0,0
tandoor/client/http.gleam,11,11,100%,0,0
tandoor/client/mod.gleam,9,9,100%,0,0
tandoor/clients/auth.gleam,6,6,100%,0,0
tandoor/clients/meal_plans.gleam,4,4,100%,0,0
tandoor/clients/request_builder.gleam,5,5,100%,0,0
tandoor/clients/response.gleam,2,2,100%,0,0
tandoor/connectivity.gleam,4,4,100%,0,0
tandoor/core/api_helpers.gleam,2,2,100%,0,0
tandoor/core/error.gleam,1,1,100%,0,0
tandoor/core/http.gleam,4,4,100%,0,0
tandoor/core/ids.gleam,51,0
0,0%,0,0
tandoor/core/multipart.gleam,6,6,100%,0,0
tandoor/core/pagination.gleam,7,6,85%,0,0
tandoor/cuisine.gleam,10,10,100%,0,0
tandoor/decoders/decoder_combinators.gleam,2,2,100%,0,0
tandoor/decoders/keyword/keyword_label_decoder.gleam,1,1,100%,0,0
tandoor/decoders/property/property_type_decoder.gleam,1,1,100%,0,0
tandoor/encoders/helpers.gleam,7,7,100%,0,0
tandoor/fallback.gleam,15,15,100%,0,0
tandoor/food.gleam,12,12,100%,0,0
tandoor/handlers/export_logs.gleam,2,0
0,0%,0,0
tandoor/handlers/handler_wrapper.gleam,4,4,100%,0,0
tandoor/handlers/helpers.gleam,19,16,84%,0,0
tandoor/handlers/supermarkets.gleam,6,2,33%,0,0
tandoor/import_export.gleam,24,24,100%,0,0
tandoor/ingredient.gleam,8,8,100%,5,0
tandoor/keyword.gleam,10,10,100%,0,0
tandoor/mapper.gleam,4,4,100%,0,0
tandoor/mealplan.gleam,16,16,100%,0,0
tandoor/models.gleam,3,3,100%,0,0
tandoor/property.gleam,9,9,100%,0,0
tandoor/recipe.gleam,11,11,100%,8,0
tandoor/retry.gleam,10,10,100%,0,0
tandoor/sdk.gleam,9,9,100%,0,0
tandoor/shopping.gleam,24,24,100%,0,0
tandoor/step.gleam,11,11,100%,0,0
tandoor/supermarket.gleam,14,14,100%,0,0
tandoor/testing/builders.gleam,18,18,100%,0,0
tandoor/testing/fixtures.gleam,21,21,100%,0,0
tandoor/testing/mock_transport.gleam,12,12,100%,0,0
tandoor/types/food/food_inherit_field.gleam,1,1,100%,0,0
tandoor/types.gleam,5,5,100%,0,0
tandoor/unit.gleam,8,8,100%,0,0
tandoor/user.gleam,12,12,100%,0,0
test_helpers/assertions.gleam,6,6,100%,0,0
types/custom_food.gleam,2,0
0,0%,0,0
types/food.gleam,6,3,50%,0,0
types/food_log.gleam,4,0
0,0%,0,0
types/grocery_item.gleam,19,19,100%,0,0
types/json.gleam,29,29,100%,0,0
types/macros.gleam,30,28,93%,0,0
types/meal_plan.gleam,25,25,100%,0,0
types/measurements.gleam,18,18,100%,0,0
types/micronutrients.gleam,30,28,93%,0,0
types/nutrition.gleam,19,19,100%,0,0
types/pagination.gleam,11,11,100%,0,0
types/recipe.gleam,27,27,100%,0,0
types/search.gleam,4,0
0,0%,0,0
types/user_profile.gleam,15,13,86%,0,0
ui/email_templates.gleam,3,3,100%,0,0
ui/progress_bar.gleam,2,2,100%,0,0
user_profile.gleam,13,13,100%,0,0
utils/macros.gleam,3,3,100%,0,0
utils/micronutrients.gleam,4,4,100%,0,0
vertical_diet_compliance.gleam,1,1,100%,0,0
vertical_diet_recipes.gleam,1,1,100%,0,0
web.gleam,2,2,100%,0,0
web/handlers/advisor.gleam,6,6,100%,0,0
web/handlers/diet.gleam,1,1,100%,0,0
web/handlers/fatsecret/brands.gleam,1,1,100%,0,0
web/handlers.gleam,28,28,100%,0,0
web/handlers/health.gleam,2,2,100%,0,0
web/handlers/macros.gleam,1,1,100%,0,0
web/handlers/meal_planning.gleam,3,3,100%,0,0
web/handlers/nutrition.gleam,1,0
0,0%,0,0
web/handlers/recipes.gleam,1,1,100%,0,0
web/handlers/scheduler.gleam,3,3,100%,0,0
web/handlers/shopping_list.gleam,5,5,100%,0,0
web/handlers/tandoor_cuisines.gleam,8,8,100%,0,0
web/handlers/tandoor/export_logs.gleam,2,2,100%,0,0
web/handlers/tandoor/foods.gleam,3,3,100%,0,0
web/handlers/tandoor.gleam,1,1,100%,0,0
web/handlers/tandoor/import_logs.gleam,2,2,100%,0,0
web/handlers/tandoor/ingredients.gleam,1,1,100%,0,0
web/handlers/tandoor/keywords.gleam,1,1,100%,0,0
web/handlers/tandoor/meal_plans.gleam,2,2,100%,0,0
web/handlers/tandoor/preferences.gleam,1,1,100%,0,0
web/handlers/tandoor/recipes.gleam,2,0
0,0%,0,0
web/handlers/tandoor/shopping_lists.gleam,2,0
0,0%,0,0
web/handlers/tandoor/steps.gleam,2,0
0,0%,0,0
web/handlers/tandoor/supermarket_categories.gleam,2,2,100%,0,0
web/handlers/tandoor/supermarkets.gleam,2,2,100%,0,0
web/handlers/tandoor/units.gleam,1,1,100%,0,0
web/middleware/rate_limit.gleam,10,10,100%,0,0
web/mod.gleam,1,1,100%,0,0
web/responses.gleam,16,16,100%,0,0
web/routes/advisor.gleam,1,1,100%,0,0
web/routes/auth.gleam,1,1,100%,0,0
web/routes/fatsecret.gleam,1,1,100%,0,0
web/routes.gleam,1,1,100%,0,0
web/routes/health.gleam,1,1,100%,0,0
web/routes/meal_planning.gleam,1,1,100%,0,0
web/routes/misc.gleam,1,1,100%,0,0
web/routes/nutrition.gleam,1,0
0,0%,0,0
web/routes/scheduler.gleam,1,1,100%,0,0
web/routes/tandoor.gleam,1,1,100%,0,0
web/versioning.gleam,15,15,100%,0,0
weekly_plan.gleam,4,2,50%,0,0
